<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
700.HK,5,20210816,033000,463.6,466.4,460.6,462.6,1430607,0
700.HK,5,20210816,033500,462.6,464.4,460.8,463.8,649394,0
700.HK,5,20210816,034000,463.8,465.6,463,463.8,617076,0
700.HK,5,20210816,034500,463.8,463.8,461.6,463.2,359075,0
700.HK,5,20210816,035000,463.2,463.8,460.8,461.8,470499,0
700.HK,5,20210816,035500,461.8,463.6,461.4,462.2,406910,0
700.HK,5,20210816,040000,462.2,462.2,458.4,459.2,911640,0
700.HK,5,20210816,040500,459.2,460.4,458.6,458.8,690901,0
700.HK,5,20210816,041000,458.8,458.8,454.8,455,1373038,0
914.HK,5,20210816,033000,43.3,44,43.1,43.8,1989800,0
914.HK,5,20210816,033500,43.8,43.8,43.5,43.7,226000,0
914.HK,5,20210816,034000,43.7,44.05,43.6,44,882000,0
914.HK,5,20210816,034500,44,44.45,43.9,44.3,802500,0
914.HK,5,20210816,035000,44.3,44.65,44.2,44.55,595500,0
914.HK,5,20210816,035500,44.55,44.6,44.05,44.05,173883,0
914.HK,5,20210816,040000,44.05,44.25,43.85,44.1,512500,0
914.HK,5,20210816,040500,44.1,44.4,44.05,44.3,222500,0
914.HK,5,20210816,041000,44.3,44.35,44.05,44.1,221880,0
914.HK,5,20210816,041500,44.1,44.15,43.9,44,343000,0
2318.HK,5,20210816,033000,67.1,67.7,66.75,67.5,1123334,0
2318.HK,5,20210816,033500,67.5,67.75,67.05,67.65,935594,0
2318.HK,5,20210816,034000,67.65,68.15,67.6,68,772500,0
2318.HK,5,20210816,034500,68,68.6,67.85,68.15,1110000,0
2318.HK,5,20210816,035000,68.15,68.45,68.15,68.25,599430,0
2318.HK,5,20210816,035500,68.25,68.95,68.25,68.45,1671500,0
2318.HK,5,20210816,040000,68.45,68.45,68.05,68.3,547040,0
2318.HK,5,20210816,040500,68.3,68.65,68.3,68.45,587500,0
2318.HK,5,20210816,041000,68.45,68.55,68.35,68.35,441000,0
2318.HK,5,20210816,041500,68.35,68.6,68.25,68.3,763010,0
2331.HK,5,20210816,033000,88.2,90,88,89,907500,0
2331.HK,5,20210816,033500,89,89.05,88.3,88.55,260100,0
2331.HK,5,20210816,034000,88.55,88.85,87.65,88.25,314500,0
2331.HK,5,20210816,034500,88.25,88.4,87.8,88.25,140000,0
2331.HK,5,20210816,035000,88.25,88.55,87.55,87.6,223500,0
2331.HK,5,20210816,035500,87.6,88.7,87.55,88.55,169500,0
2331.HK,5,20210816,040000,88.55,88.75,88.2,88.7,153000,0
2331.HK,5,20210816,040500,88.7,89.2,88.65,89.15,192500,0
2331.HK,5,20210816,041000,89.15,89.8,89.05,89.45,244738,0
2331.HK,5,20210816,041500,89.45,89.45,88.5,88.55,160000,0
2331.HK,5,20210816,042000,88.55,88.7,87.75,88.55,261500,0
2331.HK,5,20210816,042500,88.55,89,88.55,88.9,123000,0
